word,freq
requer,8126.0
bairro,3620.0
rua,3184.0
secretaria,2277.0
pavimentação,1242.0
obras,1164.0
sttp,899.0
prefeito,875.0
através,873.0
serviços,832.0
rodrigues,818.0
casa,788.0
executivo,785.0
poder,769.0
josé,747.0
romero,747.0
calçamento,713.0
moção,706.0
desta,703.0
localizada,674.0
dia,654.0
mesa,641.0
diretora,602.0
bodocongó,580.0
urbanos,576.0
realização,552.0
douta,548.0
prefeitura,545.0
instalação,466.0
joão,452.0
congratulações,450.0
construção,441.0
distrito,433.0
meio,431.0
requerer,428.0
saúde,426.0
ambiente,403.0
implantação,395.0
exmo,391.0
voto,377.0
ruas,375.0
conjunto,369.0
avenida,362.0
jardim,346.0
paraíba,344.0
malvinas,333.0
estado,326.0
pública,325.0
catolé,323.0
santa,322.0
junto,290.0
silva,290.0
especial,288.0
praça,285.0
solicite,285.0
aplausos,284.0
sesuma,284.0
cidade,282.0
sessão,277.0
iluminação,275.0
votos,271.0
nesta,265.0
galante,259.0
secretário,255.0
escola,247.0
educação,242.0
antonio,240.0
cruzeiro,237.0
limpeza,236.0
centro,233.0
trânsito,232.0
paralelepípedos,231.0
serviço,229.0
pesar,227.0
maria,226.0
sobre,226.0
polícia,222.0
estudos,220.0
falecimento,219.0
frente,218.0
lei,214.0
santo,214.0
anos,213.0
presidente,212.0
paralelepípedo,211.0
rede,210.0
localizado,208.0
público,205.0
recuperação,205.0
francisco,203.0
velocidade,203.0
projeto,202.0
oliveira,200.0
canal,198.0
aplauso,195.0
parte,192.0
severino,192.0
militar,189.0
pmcg,189.0
cabral,187.0
esgoto,186.0
ônibus,186.0
reforma,184.0
monte,182.0
secob,182.0
cagepa,181.0
lima,181.0
novo,181.0
almeida,180.0
sinalização,180.0
solicitação,180.0
academia,173.0
faixa,172.0
complementação,169.0
governo,169.0
pereira,169.0
urgência,168.0
manoel,166.0
rosa,166.0
popular,164.0
estadual,162.0
gomes,156.0
programa,155.0
ferreira,153.0
seplan,153.0
cruz,152.0
alves,150.0
lazer,150.0
operação,150.0
liberdade,147.0
mata,147.0
água,144.0
esporte,142.0
branco,140.0
realize,136.0
aniversário,134.0
borborema,134.0
centenário,134.0
juventude,134.0
públicos,134.0
pinheiro,133.0
ilmo,130.0
paulistano,130.0
superintendência,130.0
transportes,130.0
cavalcante,129.0
colocação,129.0
comemorado,128.0
dinamérica,128.0
próximo,128.0
costa,127.0
passagem,127.0
ocorrido,126.0
rondas,125.0
trecho,123.0
barbosa,122.0
central,122.0
pedestres,122.0
pedro,121.0
ramadinha,120.0
souza,120.0
asfáltico,118.0
cunha,118.0
federal,117.0
araujo,114.0
câmara,114.0
criação,114.0
audiência,113.0
três,113.0
veiga,112.0
igreja,111.0
proximidades,111.0
parque,110.0
irmãs,109.0
discutir,108.0
redutor,108.0
senhor,108.0
vista,108.0
escolas,104.0
pedestre,104.0
ensino,103.0
solicitar,103.0
social,102.0
esgotamento,101.0
nacional,100.0
transporte,100.0
batalhão,99.0
fiscalização,99.0
maior,98.0
sanitário,98.0
açude,97.0
tramitação,97.0
campanha,96.0
vieira,96.0
bairros,95.0
floriano,95.0
unidade,95.0
área,94.0
redutores,94.0
sentido,94.0
solicita,94.0
terreno,94.0
técnicos,93.0
alto,92.0
desenvolvimento,92.0
ordem,92.0
peixoto,92.0
professor,92.0
posto,90.0
conclusão,89.0
considere,88.0
ministério,88.0
asfáltica,86.0
congratulação,86.0
deste,86.0
medeiros,86.0
serrotão,86.0
comunidade,85.0
presente,85.0
ações,84.0
agricultura,84.0
cruzamento,84.0
creche,83.0
determine,83.0
filho,83.0
melo,83.0
autoria,82.0
bpm,82.0
grandepb,82.0
maio,82.0
universidade,82.0
velame,82.0
altura,81.0
defronte,81.0
trabalho,81.0
castelo,80.0
comando,80.0
coutinho,80.0
horizontal,80.0
atendimento,79.0
conserto,79.0
santos,79.0
faça,78.0
respeito,78.0
ribeiro,78.0
esportes,77.0
segurança,77.0
travessa,77.0
policiais,76.0
vereador,76.0
anais,75.0
hospital,75.0
luiz,75.0
senhora,74.0
catingueira,73.0
acesso,72.0
bezerra,72.0
campinense,72.0
competente,72.0
jornalista,72.0
recapeamento,72.0
transcurso,72.0
número,71.0
quadra,71.0
comandante,70.0
cultura,70.0
feito,70.0
leite,70.0
médici,70.0
neto,70.0
palmeira,70.0
pessoa,70.0
pintura,70.0
ser,70.0
major,69.0
prata,69.0
projetos,69.0
agra,68.0
barreto,68.0
órgão,68.0
pedregal,68.0
tapaburacos,68.0
complemento,67.0
governador,67.0
lixo,67.0
mundo,67.0
nova,67.0
todos,67.0
inclusão,66.0
intensificação,66.0
linha,66.0
novembro,66.0
sousa,66.0
vila,66.0
araújo,65.0
batista,65.0
juscelino,65.0
tavares,65.0
comemoração,63.0
secretarias,63.0
tambor,63.0
tapa,63.0
uso,63.0
ano,62.0
assembleia,62.0
mutirão,62.0
retirada,62.0
revitalização,62.0
amorim,61.0
feira,61.0
sítio,61.0
vertical,61.0
visando,61.0
civil,60.0
dias,60.0
jeremias,60.0
mercado,60.0
longo,59.0
neste,59.0
plano,59.0
quebramolas,59.0
realizada,59.0
situada,59.0
buraco,58.0
melhoria,58.0
placas,58.0
arruda,57.0
buracos,57.0
parceria,57.0
procon,57.0
semáforo,57.0
todas,57.0
bela,56.0
deputado,56.0
estudo,56.0
farias,56.0
onde,56.0
uepb,56.0
caráter,55.0
fernandes,55.0
lado,55.0
martins,55.0
paulo,55.0
professora,55.0
ronaldo,55.0
zona,55.0
administração,54.0
durante,54.0
faixas,54.0
futebol,54.0
municipais,54.0
planejamento,54.0
energisa,53.0
geraldo,53.0
manutenção,53.0
órgãos,53.0
urgente,53.0
ação,52.0
carlos,52.0
contra,52.0
empresa,52.0
implante,52.0
integração,52.0
localizadas,52.0
rocha,52.0
sra,52.0
agosto,51.0
albuquerque,51.0
ampliação,51.0
assis,51.0
brasil,51.0
campos,51.0
deus,51.0
figueiredo,51.0
local,51.0
outubro,51.0
pavimentada,51.0
apelo,50.0
assistência,50.0
cidades,50.0
conceição,50.0
fundação,50.0
sebastião,50.0
barros,49.0
combate,49.0
criança,49.0
led,49.0
povo,49.0
ricardo,49.0
rio,49.0
superintendente,49.0
terraplanagem,49.0
abril,48.0
aquisição,48.0
boa,48.0
cuités,48.0
lopes,48.0
loteamento,48.0
matéria,48.0
menezes,48.0
professores,48.0
sales,48.0
cobertura,47.0
março,47.0
realizar,47.0
entrada,46.0
escolar,46.0
esquina,46.0
matérias,46.0
mota,46.0
regional,46.0
residencial,46.0
dentro,45.0
imediações,45.0
incluídas,45.0
situação,45.0
terminal,45.0
veneziano,45.0
básica,44.0
campo,44.0
clube,44.0
defesa,44.0
econômico,44.0
kubitschek,44.0
postes,44.0
ramos,44.0
residência,44.0
urgentes,44.0
apoio,43.0
associação,43.0
neves,43.0
pontos,43.0
públicas,43.0
