word,freq
denomina,445.0
sobre,436.0
ruas,432.0
novas,417.0
concede,244.0
cidade,230.0
rua,170.0
lei,164.0
institui,158.0
campinense,138.0
título,134.0
josé,115.0
medalha,110.0
silva,110.0
obrigatoriedade,109.0
público,107.0
altera,105.0
fica,104.0
mérito,100.0
pública,98.0
honra,97.0
cidadão,88.0
nome,84.0
autoriza,83.0
forma,80.0
âmbito,76.0
programa,74.0
especifica,73.0
denominada,69.0
bairro,67.0
criação,65.0
lima,61.0
maria,61.0
rede,59.0
cria,58.0
públicos,56.0
ensino,55.0
joão,53.0
estabelece,52.0
artigo,48.0
dia,48.0
art,47.0
cidadania,45.0
redação,45.0
logradouro,44.0
reconhece,43.0
cunha,42.0
pereira,42.0
ser,42.0
utilidade,42.0
saúde,41.0
câmara,40.0
instalação,40.0
poder,40.0
escolas,39.0
oliveira,38.0
social,38.0
praça,37.0
professor,37.0
complementar,36.0
concessão,36.0
executivo,36.0
menciona,36.0
pessoas,36.0
santos,36.0
públicas,35.0
ronaldo,35.0
uso,34.0
antonio,33.0
araújo,33.0
dezembro,33.0
conjunto,32.0
municipais,32.0
determina,31.0
francisco,31.0
serviços,31.0
grandepb,30.0
imóvel,30.0
bem,29.0
deficiência,29.0
estabelecimentos,29.0
nova,29.0
semana,29.0
transporte,29.0
barbosa,28.0
denominado,28.0
distrito,28.0
serviço,28.0
almeida,27.0
gomes,27.0
manoel,27.0
servidores,27.0
souza,27.0
calendário,26.0
centro,26.0
costa,26.0
ferreira,26.0
senhor,26.0
associação,25.0
oficial,25.0
abril,24.0
anos,24.0
escolar,24.0
melo,24.0
proibição,24.0
projeto,24.0
sistema,24.0
veículos,24.0
construída,23.0
doação,23.0
realização,23.0
severino,23.0
sousa,23.0
acrescenta,22.0
alves,22.0
denominação,22.0
eventos,22.0
instituição,22.0
pastor,22.0
política,22.0
prevenção,22.0
segurança,22.0
condição,21.0
desafeta,21.0
escola,21.0
exercício,21.0
filho,21.0
campos,20.0
casa,20.0
comenda,20.0
empresas,20.0
inalienável,20.0
inciso,20.0
inclusão,20.0
ônibus,20.0
qualquer,20.0
assistência,19.0
bezerra,19.0
cabral,19.0
cultural,19.0
educação,19.0
plano,19.0
rodrigues,19.0
coletivo,18.0
creche,18.0
prefeitura,18.0
administração,17.0
área,17.0
crianças,17.0
desenvolvimento,17.0
dias,17.0
diretrizes,17.0
farias,17.0
jornalista,17.0
modifica,17.0
portadores,17.0
ribeiro,17.0
complexo,16.0
fixa,16.0
galante,16.0
instituições,16.0
isenção,16.0
locais,16.0
pagamento,16.0
pedro,16.0
serem,16.0
torna,16.0
acesso,15.0
atendimento,15.0
combate,15.0
contra,15.0
dantas,15.0
eou,15.0
guimarães,15.0
idosos,15.0
imóveis,15.0
instituto,15.0
iptu,15.0
luiz,15.0
paraíba,15.0
poeta,15.0
projetada,15.0
revoga,15.0
todos,15.0
unidades,15.0
alunos,14.0
apoio,14.0
brito,14.0
carlos,14.0
conselho,14.0
construção,14.0
dispositivos,14.0
fernandes,14.0
incentivo,14.0
interno,14.0
regimento,14.0
violência,14.0
comerciais,13.0
equipamentos,13.0
janeiro,13.0
neves,13.0
obras,13.0
parte,13.0
paulo,13.0
regulamenta,13.0
similares,13.0
três,13.0
avenida,12.0
cargos,12.0
casas,12.0
construídas,12.0
creches,12.0
especial,12.0
funcionamento,12.0
interesse,12.0
localizada,12.0
obrigatória,12.0
patrimônio,12.0
portal,12.0
profissionais,12.0
quadra,12.0
sesquicentenário,12.0
trânsito,12.0
agosto,11.0
antônio,11.0
cantor,11.0
cobrança,11.0
código,11.0
coleta,11.0
conceder,11.0
criar,11.0
doutor,11.0
efetivos,11.0
especiais,11.0
faz,11.0
fins,11.0
fiscais,11.0
física,11.0
fundamental,11.0
habitacional,11.0
industrial,11.0
lopes,11.0
meio,11.0
mulheres,11.0
nacional,11.0
novo,11.0
outros,11.0
parágrafo,11.0
pessoa,11.0
restaurantes,11.0
secretaria,11.0
silveira,11.0
sudoeste,11.0
supermercados,11.0
tavares,11.0
trabalho,11.0
transportes,11.0
urbano,11.0
valor,11.0
vencimentos,11.0
vias,11.0
água,10.0
albuquerque,10.0
andrade,10.0
ano,10.0
artigos,10.0
através,10.0
barros,10.0
cavalcante,10.0
coletivos,10.0
comissão,10.0
crédito,10.0
cultura,10.0
estacionamento,10.0
federal,10.0
freire,10.0
imposto,10.0
júnior,10.0
lixo,10.0
logradouros,10.0
maio,10.0
mata,10.0
medeiros,10.0
menezes,10.0
mínimo,10.0
parque,10.0
particular,10.0
período,10.0
ramos,10.0
salário,10.0
sessenta,10.0
soares,10.0
taxa,10.0
unidade,10.0
vagas,10.0
visual,10.0
acordo,9.0
agentes,9.0
bares,9.0
