sigla_partido,cor_espectro,espectro_politico,ideologias
PMDB,#fee090,"centro","Sincretismo político"
PT,#d73027,"esquerda à centro-esquerda","socialismo democrático, reformismo, desenvolvimentismo, progressismo"
PSDB,#fee090,"centro-esquerda à centro-direita","Social democracia, Liberalismo social"
PP,#91bfdb,"centro-direita à direita","conservadorismo, populismo, nacionalismo,"
PDT,#d73027,"centro-esquerda","social democracia, humanismo, trabalhismo, getulismo, brizolismo, populismo, nacionalismo"
PTB,#fee090,"centro","nacionalismo, trabalhismo, getulismo"
DEM,#91bfdb,"centro-direita","conservadorismo liberal, Liberalismo econômico"
PR,#91bfdb,"centro-direita","republicanismo, liberalismo social, protecionismo"
PSB,#d73027,"esquerda à centro-esquerda","socialismo democrático, reformismo, progressismo"
PPS,#d73027,"centro-esquerda","social-democracia, terceira via, parlamentarismo"
PSC,#91bfdb,"direita","democracia cristã, conservadorismo fiscal, conservadorismo liberal, conservadorismo social"
PC do B,#d73027,"extrema-esquerda à esquerda","socialismo democrático, comunismo, marxismo-leninismo, maoísmo, reformismo, desenvolvimentismo"
PRB,#91bfdb,"centro-direita","republicanismo, conservadorismo liberal, intervencionismo econômico"
PV,#d73027,"centro-esquerda","ambientalismo, liberalismo social, federalismo, Parlamentarismo, sincretismo político"
PSD,#91bfdb,"centro à centro-direita","liberalismo economico"
PRP,#91bfdb,"centro-direita","republicanismo, progressismo"
PSL,#fee090,"centro","liberalismo social, liberalismo econômico, libertarianismo bleeding-heart"
PMN,#d73027,"centro-esquerda","mobilização"
PHS,#91bfdb,"centro à centro-direita","humanismo, distributismo, democracia cristã"
PTC,#91bfdb,"centro-direita","trabalhismo, capitalismo conservadorismo liberal, direita cristã"
PT do B,#d73027,"centro-esquerda","trabalhismo, nacionalismo, getulismo"
PSDC,#91bfdb,"direita","democracia cristã, conservadorismo social, direita cristã"
SD,#d73027,"centro-esquerda","trabalhismo"
PTN,#fee090,"centro","trabalhismo, nacionalismo"
PRTB,#91bfdb,"direita","trabalhismo, participalismo, conservadorismo, nacionalismo"
PSOL,#d73027,"extrema-esquerda à esquerda","socialismo, marxismo, trotskismo, ecossocialismo"
PROS,#91bfdb,"centro-direita à direita","republicanismo, laissez-faire, direita cristã"
PEN,#91bfdb,"centro-direita","sustentabilidade, ecologismo"
PPL,#d73027,"esquerda","desenvolvimentismo, nacional-desenvolvimentismo, socialismo científico"
PMB,#d73027,"centro-esquerda","direitos da mulher"
PSTU,#d73027,"extrema-esquerda","socialismo, comunismo, marxismo-leninismo, trotskismo (Nahuel Moreno ou morenista)"
REDE,#d73027,"esquerda","social democracia, ecologismo, sustentabilidade"
PCB,#d73027,"extrema-esquerda","socialismo, comunismo, marxismo-leninismo"
NOVO,#91bfdb,"direita","liberalismo econômico, libertarianismo"
PCO,#d73027,"extrema-esquerda","socialismo, comunismo, marxismo-leninismo, trotskismo (Partido Obrero (Argentina), altamirista)"
